success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject,group,date,rt,stimulus,response,task_part,task,face_id,condition,age_rating
,,,,,html-keyboard-response,171,501311,0.0-2.0-1.56,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_075_grey.jpg"" alt=""Face""></div>",null,,exp1,75,grey,
,,,,,survey-text,172,502826,0.0-2.0-2.56,8,B,2/25/2026,1514,,"{""age"":""26""}",,exp1,75,grey,26
,,,,,html-keyboard-response,173,503330,0.0-2.0-0.57,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,174,505337,0.0-2.0-1.57,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_053_grey.jpg"" alt=""Face""></div>",null,,exp1,53,grey,
,,,,,survey-text,175,505871,0.0-2.0-2.57,8,B,2/25/2026,532,,"{""age"":""34""}",,exp1,53,grey,34
,,,,,html-keyboard-response,176,506372,0.0-2.0-0.58,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,177,508380,0.0-2.0-1.58,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_100_color.jpg"" alt=""Face""></div>",null,,exp1,100,color,
,,,,,survey-text,178,512518,0.0-2.0-2.58,8,B,2/25/2026,4137,,"{""age"":""26""}",,exp1,100,color,26
,,,,,html-keyboard-response,179,513024,0.0-2.0-0.59,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,180,515030,0.0-2.0-1.59,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_045_grey.jpg"" alt=""Face""></div>",null,,exp1,45,grey,
,,,,,survey-text,181,518094,0.0-2.0-2.59,8,B,2/25/2026,3063,,"{""age"":""30""}",,exp1,45,grey,30
,,,,,html-keyboard-response,182,518599,0.0-2.0-0.60,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,183,520607,0.0-2.0-1.60,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_088_color.jpg"" alt=""Face""></div>",null,,exp1,88,color,
,,,,,survey-text,184,524266,0.0-2.0-2.60,8,B,2/25/2026,3658,,"{""age"":""33""}",,exp1,88,color,33
,,,,,html-keyboard-response,185,524772,0.0-2.0-0.61,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,186,526780,0.0-2.0-1.61,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_019_grey.jpg"" alt=""Face""></div>",null,,exp1,19,grey,
,,,,,survey-text,187,528315,0.0-2.0-2.61,8,B,2/25/2026,1534,,"{""age"":""24""}",,exp1,19,grey,24
,,,,,html-keyboard-response,188,528821,0.0-2.0-0.62,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,189,530827,0.0-2.0-1.62,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_069_grey.jpg"" alt=""Face""></div>",null,,exp1,69,grey,
,,,,,survey-text,190,532743,0.0-2.0-2.62,8,B,2/25/2026,1914,,"{""age"":""25""}",,exp1,69,grey,25
,,,,,html-keyboard-response,191,533243,0.0-2.0-0.63,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,192,535251,0.0-2.0-1.63,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_074_color.jpg"" alt=""Face""></div>",null,,exp1,74,color,
,,,,,survey-text,193,535771,0.0-2.0-2.63,8,B,2/25/2026,519,,"{""age"":""34""}",,exp1,74,color,34
,,,,,html-keyboard-response,194,536272,0.0-2.0-0.64,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,195,538278,0.0-2.0-1.64,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_057_grey.jpg"" alt=""Face""></div>",null,,exp1,57,grey,
,,,,,survey-text,196,554318,0.0-2.0-2.64,8,B,2/25/2026,16040,,"{""age"":""25""}",,exp1,57,grey,25
,,,,,html-keyboard-response,197,554825,0.0-2.0-0.65,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,198,556827,0.0-2.0-1.65,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_055_grey.jpg"" alt=""Face""></div>",null,,exp1,55,grey,
,,,,,survey-text,199,557226,0.0-2.0-2.65,8,B,2/25/2026,399,,"{""age"":""29""}",,exp1,55,grey,29
,,,,,html-keyboard-response,200,557727,0.0-2.0-0.66,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,201,559728,0.0-2.0-1.66,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_068_color.jpg"" alt=""Face""></div>",null,,exp1,68,color,
,,,,,survey-text,202,564822,0.0-2.0-2.66,8,B,2/25/2026,5093,,"{""age"":""24""}",,exp1,68,color,24
,,,,,html-keyboard-response,203,565323,0.0-2.0-0.67,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,204,567330,0.0-2.0-1.67,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_049_grey.jpg"" alt=""Face""></div>",null,,exp1,49,grey,
