"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","group","date","rt","stimulus","response","task_part","task","face_id","condition","age_rating"
"","","","","","html-keyboard-response","263","659903","0.0-2.0-0.87","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","264","661919","0.0-2.0-1.87","2","B","21/02/2026","null","<img src=""img/face_036_color.jpg"" style=""height:400px; width:auto;"">","null","","exp1","036","color",""
"","","","","","survey-text","265","665312","0.0-2.0-2.87","2","B","21/02/2026","3390","","{""age"":""32""}","","exp1","036","color","32"
"","","","","","html-keyboard-response","266","665820","0.0-2.0-0.88","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","267","667833","0.0-2.0-1.88","2","B","21/02/2026","null","<img src=""img/face_099_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","099","grey",""
"","","","","","survey-text","268","671564","0.0-2.0-2.88","2","B","21/02/2026","3728","","{""age"":""38""}","","exp1","099","grey","38"
"","","","","","html-keyboard-response","269","672072","0.0-2.0-0.89","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","270","674086","0.0-2.0-1.89","2","B","21/02/2026","null","<img src=""img/face_021_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","021","grey",""
"","","","","","survey-text","271","678906","0.0-2.0-2.89","2","B","21/02/2026","4818","","{""age"":""38""}","","exp1","021","grey","38"
"","","","","","html-keyboard-response","272","679418","0.0-2.0-0.90","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","273","681427","0.0-2.0-1.90","2","B","21/02/2026","null","<img src=""img/face_089_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","089","grey",""
"","","","","","survey-text","274","686065","0.0-2.0-2.90","2","B","21/02/2026","4634","","{""age"":""40""}","","exp1","089","grey","40"
"","","","","","html-keyboard-response","275","686574","0.0-2.0-0.91","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","276","688588","0.0-2.0-1.91","2","B","21/02/2026","null","<img src=""img/face_093_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","093","grey",""
"","","","","","survey-text","277","703039","0.0-2.0-2.91","2","B","21/02/2026","14449","","{""age"":""31""}","","exp1","093","grey","31"
"","","","","","html-keyboard-response","278","703542","0.0-2.0-0.92","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","279","705553","0.0-2.0-1.92","2","B","21/02/2026","null","<img src=""img/face_012_color.jpg"" style=""height:400px; width:auto;"">","null","","exp1","012","color",""
"","","","","","survey-text","280","725529","0.0-2.0-2.92","2","B","21/02/2026","19972","","{""age"":""39""}","","exp1","012","color","39"
"","","","","","html-keyboard-response","281","726032","0.0-2.0-0.93","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","282","728038","0.0-2.0-1.93","2","B","21/02/2026","null","<img src=""img/face_023_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","023","grey",""
"","","","","","survey-text","283","744406","0.0-2.0-2.93","2","B","21/02/2026","16363","","{""age"":""40""}","","exp1","023","grey","40"
"","","","","","html-keyboard-response","284","744916","0.0-2.0-0.94","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","285","746926","0.0-2.0-1.94","2","B","21/02/2026","null","<img src=""img/face_013_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","013","grey",""
"","","","","","survey-text","286","770316","0.0-2.0-2.94","2","B","21/02/2026","23387","","{""age"":""29""}","","exp1","013","grey","29"
"","","","","","html-keyboard-response","287","770825","0.0-2.0-0.95","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","288","772833","0.0-2.0-1.95","2","B","21/02/2026","null","<img src=""img/face_011_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","011","grey",""
"","","","","","survey-text","289","776723","0.0-2.0-2.95","2","B","21/02/2026","3888","","{""age"":""23""}","","exp1","011","grey","23"
"","","","","","html-keyboard-response","290","777226","0.0-2.0-0.96","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","291","779240","0.0-2.0-1.96","2","B","21/02/2026","null","<img src=""img/face_090_color.jpg"" style=""height:400px; width:auto;"">","null","","exp1","090","color",""
"","","","","","survey-text","292","781918","0.0-2.0-2.96","2","B","21/02/2026","2676","","{""age"":""27""}","","exp1","090","color","27"
"","","","","","html-keyboard-response","293","782433","0.0-2.0-0.97","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","294","784447","0.0-2.0-1.97","2","B","21/02/2026","null","<img src=""img/face_085_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","085","grey",""
"","","","","","survey-text","295","788575","0.0-2.0-2.97","2","B","21/02/2026","4124","","{""age"":""37""}","","exp1","085","grey","37"
"","","","","","html-keyboard-response","296","789091","0.0-2.0-0.98","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","297","791103","0.0-2.0-1.98","2","B","21/02/2026","null","<img src=""img/face_097_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","097","grey",""
"","","","","","survey-text","298","793958","0.0-2.0-2.98","2","B","21/02/2026","2851","","{""age"":""22""}","","exp1","097","grey","22"
"","","","","","html-keyboard-response","299","794465","0.0-2.0-0.99","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
