success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject,group,date,rt,stimulus,response,task_part,task,face_id,condition,age_rating
,,,,,survey-text,323,574107,0.0-4.0-2.6,6,B,23/02/2026,669,,"{""age"":""25""}",,exp2,189,rg_minus,25
,,,,,html-keyboard-response,324,574615,0.0-4.0-0.7,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,325,576627,0.0-4.0-1.7,6,B,23/02/2026,null,"<img src=""img/face_163_rg_minus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,163,rg_minus,
,,,,,survey-text,326,577175,0.0-4.0-2.7,6,B,23/02/2026,544,,"{""age"":""25""}",,exp2,163,rg_minus,25
,,,,,html-keyboard-response,327,577685,0.0-4.0-0.8,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,328,579695,0.0-4.0-1.8,6,B,23/02/2026,null,"<img src=""img/face_111_rg_minus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,111,rg_minus,
,,,,,survey-text,329,580703,0.0-4.0-2.8,6,B,23/02/2026,1004,,"{""age"":""25""}",,exp2,111,rg_minus,25
,,,,,html-keyboard-response,330,581207,0.0-4.0-0.9,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,331,583213,0.0-4.0-1.9,6,B,23/02/2026,null,"<img src=""img/face_149_rg_minus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,149,rg_minus,
,,,,,survey-text,332,584123,0.0-4.0-2.9,6,B,23/02/2026,905,,"{""age"":""30""}",,exp2,149,rg_minus,30
,,,,,html-keyboard-response,333,584625,0.0-4.0-0.10,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,334,586629,0.0-4.0-1.10,6,B,23/02/2026,null,"<img src=""img/face_115_rg_minus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,115,rg_minus,
,,,,,survey-text,335,587235,0.0-4.0-2.10,6,B,23/02/2026,602,,"{""age"":""20""}",,exp2,115,rg_minus,20
,,,,,html-keyboard-response,336,587743,0.0-4.0-0.11,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,337,589745,0.0-4.0-1.11,6,B,23/02/2026,null,"<img src=""img/face_173_rg_minus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,173,rg_minus,
,,,,,survey-text,338,590773,0.0-4.0-2.11,6,B,23/02/2026,1024,,"{""age"":""30""}",,exp2,173,rg_minus,30
,,,,,html-keyboard-response,339,591284,0.0-4.0-0.12,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,340,593290,0.0-4.0-1.12,6,B,23/02/2026,null,"<img src=""img/face_162_rg_plus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,162,rg_plus,
,,,,,survey-text,341,594896,0.0-4.0-2.12,6,B,23/02/2026,1603,,"{""age"":""30""}",,exp2,162,rg_plus,30
,,,,,html-keyboard-response,342,595408,0.0-4.0-0.13,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,343,597415,0.0-4.0-1.13,6,B,23/02/2026,null,"<img src=""img/face_151_rg_minus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,151,rg_minus,
,,,,,survey-text,344,598018,0.0-4.0-2.13,6,B,23/02/2026,598,,"{""age"":""30""}",,exp2,151,rg_minus,30
,,,,,html-keyboard-response,345,598523,0.0-4.0-0.14,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
